county,pop2012
alachua,251417
baker,27086
bay,171903
bradford,27049
brevard,547307
broward,1815137
calhoun,14723
charlotte,162449
citrus,139360
clay,194345
collier,332427
columbia,67966
desoto,34712
dixie,16126
duval,879602
escambia,302715
flagler,98359
franklin,11686
gadsden,46528
gilchrist,16815
glades,13107
gulf,15718
hamilton,14708
hardee,27514
hendry,37447
hernando,173422
highlands,98128
hillsborough,1277746
holmes,19804
indianriver,140567
jackson,48968
jefferson,14256
lafayette,8804
lake,303186
lee,645293
leon,283769
levy,40025
liberty,8276
madison,18907
manatee,333895
marion,335125
martin,148817
miami,2591035
monroe,74809
nassau,74629
okaloosa,190083
okeechobee,39467
orange,1202234
osceola,287416
palmbeach,1356545
pasco,470391
pinellas,921319
polk,616158
putnam,73263
stjohns,202188
stlucie,283866
santarosa,158512
sarasota,386147
seminole,430838
sumter,101620
suwanee,43656
taylor,22744
union,15212
volusia,496950
wakulla,30818
walton,57582
washington,24892
region3exceptalachua,1983698
allcountiesexceptalachua,19066151
