Alachua County Targetted (60 sites) Inspection & Larviciding Field Data July 2014,,,,,,,,,
prius,ac,site,cond,dips,larvae,larvae_per_dip,pounds_vectolex,acres_treated,comments
111-04,77,LAKE BONNET ESTATES PHASE II,very little water,5,0,,,,
111-01,78,LAKE BONNET ESTATES PHASE II,dry,,,,,,
111-02,79,LAKE BONNET ESTATES PHASE II,dry,,,,,,
111-03,80,LAKE BONNET ESTATES PHASE II,dry,,,,,,
152-02,174,THE JOCKEY CLUB,dry,,,,,,
151-03,175,THE JOCKEY CLUB,dry,,,,,,
152-03,199,WEST END GOLF VIEW ESTATES,wet; fresh water,6,0,,,,
152-10,108,PINE HILLS ESTATES ADDITION NUMBER 2,water in drain,6,0,,,,
135-03,122,PINE HILLS ESTATES ADDITION NUMBER THREE,dry,,,,,,
136-12,102,OAK CREST FOREST,wet; fresh water,6,0,,,,
152-06,26,FT CLARK FOREST,wet; fresh water,6,0,,,,
136-10,27,FT CLARKE BLVD,dry,,,,,,
153-02,28,FT CLARKE BLVD,wet; fresh water,10,0,,,,
153-06,182,TOWER HILL OFFICE COMPLEX,dry,,,,,,
153-05,183,TOWER HILL OFFICE COMPLEX,dry,,,,,,
153-04,184,TOWER HILL OFFICE COMPLEX,dry,,,,,,
153-03,185,TOWER HILL OFFICE COMPLEX,wet,2,6,3,0.1,0.02,culex
153-08,200,WESTCHESTER MANOR,wet; fresh water,10,0,,,,
153-11,201,WESTCHESTER MANOR,dry,,,,,,
153-12,211,WOODLANDS,dry,,,,,,
136-09,10,BARRINGTON PLACE,dry,,,,,,
137-10,127,RICHMOND,wet; fresh water,6,0,,,,
154-04,157,SHELL ROCK VILLAS,dry,,,,,,
137-13,13,BENWOOD ESTATES UNIT NO. 2,wet; fresh water,4,0,,,,
137-12,15,BUCK RIDGE,wet; fresh water,6,0,,,,
137-19,124,RICHMOND,dry,,,,,,
137-16,128,RICHMOND,dry,,,,,,
137-09,181,TIMBERWAY,dry,,,,,,
154-02,105,PARK AVENUE OFFICE COMPLEX,wet; fresh water,6,0,,,,
154-01,106,PARK AVENUE OFFICE COMPLEX,wet; fresh water,6,0,,,,
139-01,90,N MAIN ST,wet; fresh water,6,0,,,,
170-24,18,CAMBRIDGE FOREST PHASE I,dry,,,,,,
187-15,173,SW 46 BLVD (HAILE PLANTATION),dry,,,,,,
170-18,205,WINDWARD MEADOWS,dry,,,,,,
186-01,45,HAILE PLANTATION UNIT 13,water in drain,2,16,8,0.1,0.06,culex
170-01,6,AVALON,dry,,,,,,
170-03,8,AVALON,dry,,,,,,
170-27,25,FAIRFIELD PHASE II,dry,,,,,,
170-06,178,THE RESERVE,dry,,,,,,
170-07,179,THE RESERVE,dry,,,,,,
170-08,180,THE RESERVE,dry,,,,,,
170-22,210,WOODLANDS,dry,,,,,,
170-23,212,WOODLANDS,dry,,,,,,
170-05,72,KENWOOD UNIT 2,dry,,,,,,
187-03,74,KENWOOD UNIT 4,dry,,,,,,
187-02,75,KENWOOD UNIT NO 7,wet; fresh water,7,0,,,,
187-18,41,HAILE PLANTATION UBIT 10 PHASE I,dry,,,,,,
187-19,42,HAILE PLANTATION UNIT 10 PHASE II,dry,,,,,,
187-22,48,HAILE PLANTATION UNIT 2,dry,,,,,,
187-13,49,HAILE PLANTATION UNIT 24,dry,,,,,,
187-20,50,HAILE PLANTATION UNIT 7,dry,,,,,,
170-12,107,PINE GLADE,dry,,,,,,
187-04,190,TOWER VILLAGE,wet; fresh water; overgrown,5,0,,,,
187-05,191,TOWER VILLAGE III,dry; overgrown,,,,,,
170-13,187,TOWER OAKS MANOR,dry,,,,,,
170-11,188,TOWER OAKS RIDGE,dry,,,,,,
187-07,29,GREEN LEAF UNIT NO 1,dry,,,,,,
187-08,30,GREEN LEAF UNIT NO 1,dry,,,,,,
187-09,40,GREEN LEAF UNIT NO 2,dry,,,,,,
188-01,104,OAKS OF KANAPAHA UNIT 1,very little water,4,0,,,,
TOTAL,,,,,,,0.2,0.08,
