date,total,vector
6/2/2008,7.8,4.7
6/9/2008,3.7,3.5
6/16/2008,1.7,1.5
6/23/2008,9,4.5
6/30/2008,12.2,4
7/7/2008,13,7.8
7/14/2008,9.2,4.8
7/21/2008,11.2,3.8
7/28/2008,6,3.3
8/7/2008,7.5,3.7
8/14/2008,24,11
8/27/2008,30.3,21.3
9/4/2008,185.7,62.3
9/9/2008,327.2,132.5
9/16/2008,629.5,187.3
9/23/2008,170,51.5
10/1/2008,73.3,55
10/8/2008,17.5,14.8
10/15/2008,5,2.3
10/22/2008,5.8,3
10/29/2008,7.3,2.8
11/4/2008,9.3,5.5
11/11/2008,5,2.3
4/6/2009,10,9.2
4/13/2009,72.5,51.5
4/20/2009,72.3,16.8
4/27/2009,52.2,12.7
5/5/2009,39.7,10.2
5/12/2009,33,12.2
5/26/2009,8.7,5.8
6/2/2009,444,95.3
6/9/2009,239.7,51.5
6/16/2009,25.7,5.7
6/23/2009,171.5,61.7
7/1/2009,59.5,28.8
7/8/2009,58.8,47.8
7/15/2009,58.5,48.8
7/22/2009,164.8,102.2
7/29/2009,152.2,101.7
8/6/2009,128.2,77.2
8/12/2009,141.5,88.5
8/26/2009,206.8,160.2
9/1/2009,165.5,152.7
9/9/2009,20.7,18.3
9/15/2009,28.7,27.1
9/24/2009,132,117.2
9/29/2009,164,148.5
10/5/2009,76.2,68.2
10/12/2009,38.8,38
10/19/2009,32.8,30.2
10/26/2009,25.2,21.3
7/6/2010,201.3,62.3
7/13/2010,248.8,132.5
7/20/2010,347,132.3
7/27/2010,287.2,98.2
8/3/2010,252.3,136.7
8/10/2010,211,128.8
8/17/2010,230.5,157.3
8/24/2010,237,122.3
8/31/2010,198.2,132.7
9/1/2010,113.5,72.2
9/7/2010,87.8,62
9/9/2010,94.7,83.5
9/14/2010,92,86.2
9/16/2010,94.8,87
9/21/2010,121,94.7
9/23/2010,115.7,81.5
9/28/2010,139.7,104.5
9/30/2010,124,103
10/5/2010,36.5,30.3
10/7/2010,25.2,22.8
10/12/2010,35.7,34
10/14/2010,26,23.8
10/19/2010,28.3,26
10/21/2010,14.8,14
10/26/2010,9,8.5
10/28/2010,12,9
11/2/2010,13.5,13.2
11/3/2010,10.7,6.2
11/9/2010,16,13.5
11/11/2010,7,7.7
11/16/2010,9.3,7.8
11/18/2010,10.8,10
11/23/2010,21.2,18.3
11/29/2010,11.5,9.5
4/5/2011,9.3,5.5
4/12/2011,5,2.3
4/19/2011,6.5,2
4/26/2011,6.8,3.5
5/3/2011,3.8,2.5
5/10/2011,4.2,2.5
5/17/2011,3.7,2.7
5/24/2011,3,2.2
5/31/2011,3.8,5.5
6/7/2011,25.2,20.5
6/14/2011,43.3,59.8
6/21/2011,34,23.5
6/28/2011,36.5,23.2
7/6/2011,73,56.2
7/13/2011,73.7,55.5
7/20/2011,79.5,74.2
7/27/2011,52.3,45.2
8/2/2011,74,62.8
8/9/2011,43.5,36.7
8/16/2011,69.8,53
8/23/2011,62.2,51.8
9/7/2011,135.3,59.8
9/14/2011,187.8,98.5
9/21/2011,212.5,122.5
9/28/2011,131.3,54
6/13/2012,2.5,2
6/20/2012,9.3,9.3
6/27/2012,69.8,53
7/4/2012,74,62.8
7/12/2012,1411,1317
7/19/2012,1505,602
7/24/2012,1178,1097.7
7/31/2012,732,688.2
8/8/2012,170,139.8
8/15/2012,169.9,149.3
8/22/2012,246.3,206.8
8/29/2012,325.8,278.2
9/5/2012,331,260.3
9/11/2012,324.9,278.7
9/18/2012,348.1,310.6
9/26/2012,296.2,246.6
10/3/2012,315.7,272.4
10/10/2012,29.4,18.4
10/17/2012,33.2,11.9
10/24/2012,41.3,21.8
10/31/2012,57.6,22.4
6/4/2013,88.11,49.78
6/12/2013,88.33,41.56
6/18/2013,208,67.89
6/25/2013,81.11,41.11
7/4/2013,209.56,100.22
7/10/2013,360.1,182.5
7/17/2013,367,263.9
7/24/2013,66.9,42.4
7/30/2013,1050.1,477.1
8/6/2013,1093,347.8
8/13/2013,368.6,207.6
8/20/2013,199.3,159.5
9/3/2013,365.2,294
9/10/2013,899,496
9/17/2013,954,658
9/24/2013,736.3,597.7
